parameter,value,CV
U_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,5.09741112319894e-08,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,1.28107309473067e-07,
L_goes_down_True_mab_virus_PGT121|1176,2.32119220857645e-09,
L_goes_down_True_mab_virus_PGT121|1798,1.45197518129081e-10,
L_goes_down_True_mab_virus_PGT121|2944,1.14534296194073e-08,
L_goes_down_True_mab_virus_PGT121|2946,4.08847414196861e-08,
L_goes_down_True_mab_virus_PGT121|3430,3.89113737552043e-07,
L_goes_down_True_mab_virus_PGT121|4166,2.82249466119196e-07,
L_goes_down_True_mab_virus_PGT121|4168,8.26893665963747e-07,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,7.22864986305063e-07,
L_goes_down_True_mab_virus_PGT121|PVO.4,1.44767676940784e-05,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,3.88622946159765e-07,
L_goes_down_True_mab_virus_PGT121|TRO.11,1.802533063708e-05,
L_goes_down_True_mab_virus_VRC07-523LS|1176,4.59836557004127e-07,
L_goes_down_True_mab_virus_VRC07-523LS|1798,1.57608195645645e-07,
L_goes_down_True_mab_virus_VRC07-523LS|2944,7.62934029788294e-07,
L_goes_down_True_mab_virus_VRC07-523LS|2946,4.5000303983509e-07,
L_goes_down_True_mab_virus_VRC07-523LS|3430,7.12785049188744e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4166,1.30454586685889e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4168,4.91312591670854e-09,
L_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,6.4244986733813e-07,
L_goes_down_True_mab_virus_VRC07-523LS|PVO.4,2.73051133457521e-07,
L_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,9.68202817718201e-09,
L_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.45431895758648e-06,
L_goes_down_True_mab_virus_nan|1176,3.30311643497908e-09,
L_goes_down_True_mab_virus_nan|1798,1.86386278312634e-09,
L_goes_down_True_mab_virus_nan|2944,3.21780297437235e-10,
L_goes_down_True_mab_virus_nan|2946,4.61100503042288e-10,
L_goes_down_True_mab_virus_nan|3430,8.75970903981377e-10,
L_goes_down_True_mab_virus_nan|4166,1.2934119663891e-09,
L_goes_down_True_mab_virus_nan|4168,3.48583403645593e-09,
L_goes_down_True_mab_virus_nan|Ce1176_A3,6.95394419119442e-10,
L_goes_down_True_mab_virus_nan|PVO.4,3.04718966932834e-09,
L_goes_down_True_mab_virus_nan|RHPA4259.7,6.24259339147351e-10,
L_goes_down_True_mab_virus_nan|TRO.11,2.37287164737964e-09,
m_goes_down_False_mab_virus_Clinical VRC01|PVO.4,0.50037441184379,
m_goes_down_False_mab_virus_PGDM1400|1176,0.247925876177308,
m_goes_down_False_mab_virus_PGDM1400|1798,0.180049798260938,
m_goes_down_False_mab_virus_PGDM1400|2944,0.471861276665074,
m_goes_down_False_mab_virus_PGDM1400|2946,0.267607238374844,
m_goes_down_False_mab_virus_PGDM1400|3430,351.201588557302,
m_goes_down_False_mab_virus_PGDM1400|4166,0.359564025818863,
m_goes_down_False_mab_virus_PGDM1400|4168,0.382407738734388,
m_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,0.183110318743668,
m_goes_down_False_mab_virus_PGDM1400|PVO.4,0.500833276604182,
m_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,0.584247614062265,
m_goes_down_False_mab_virus_PGDM1400|TRO.11,0.406373685020771,
m_goes_down_False_mab_virus_PGT121|1176,0.242518873817231,
m_goes_down_False_mab_virus_PGT121|1798,0.495182168751669,
m_goes_down_False_mab_virus_PGT121|2944,0.60281824774395,
m_goes_down_False_mab_virus_PGT121|2946,0.515829267764121,
m_goes_down_False_mab_virus_PGT121|3430,0.35900239993006,
m_goes_down_False_mab_virus_PGT121|4166,0.52794532886269,
m_goes_down_False_mab_virus_PGT121|4168,0.16795782396943,
m_goes_down_False_mab_virus_PGT121|Ce1176_A3,0.725639058363668,
m_goes_down_False_mab_virus_PGT121|PVO.4,0.533328810451073,
m_goes_down_False_mab_virus_PGT121|RHPA4259.7,0.664576119101682,
m_goes_down_False_mab_virus_PGT121|TRO.11,0.582069251370806,
m_goes_down_False_mab_virus_VRC07-523LS|1176,0.490598416879541,
m_goes_down_False_mab_virus_VRC07-523LS|1798,0.677148142731866,
m_goes_down_False_mab_virus_VRC07-523LS|2944,0.496903802647264,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.535372132541412,
m_goes_down_False_mab_virus_VRC07-523LS|3430,0.538182197917587,
m_goes_down_False_mab_virus_VRC07-523LS|4166,0.625872517363727,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.368200158523541,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.575069557478474,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.544875525282727,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.589341769748905,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.586624489372779,
m_goes_down_False_mab_virus_nan|1176,0.230910874185872,
m_goes_down_False_mab_virus_nan|1798,0.730688705373839,
m_goes_down_False_mab_virus_nan|2944,0.245006488918541,
m_goes_down_False_mab_virus_nan|2946,0.575966446476253,
m_goes_down_False_mab_virus_nan|3430,1.31384793877928,
m_goes_down_False_mab_virus_nan|4166,0.513717834249297,
m_goes_down_False_mab_virus_nan|4168,0.216349513352922,
m_goes_down_False_mab_virus_nan|Ce1176_A3,0.65345729821558,
m_goes_down_False_mab_virus_nan|PVO.4,0.42979912493676,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.160087613991221,
m_goes_down_False_mab_virus_nan|TRO.11,0.530136805141343,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.48740951797895,
m_goes_down_True_mab_virus_PGDM1400|1176,0.736982745821391,
m_goes_down_True_mab_virus_PGDM1400|1798,0.535214785777486,
m_goes_down_True_mab_virus_PGDM1400|2944,1.40265156943405,
m_goes_down_True_mab_virus_PGDM1400|2946,0.795487427049065,
m_goes_down_True_mab_virus_PGDM1400|3430,1043.97941458393,
m_goes_down_True_mab_virus_PGDM1400|4166,1.06883753778515,
m_goes_down_True_mab_virus_PGDM1400|4168,1.13674260089844,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.544312467809643,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.48877353619395,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.73673041914862,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.20798360717289,
m_goes_down_True_mab_virus_PGT121|1176,0.720909927979889,
m_goes_down_True_mab_virus_PGT121|1798,1.47197509205293,
m_goes_down_True_mab_virus_PGT121|2944,1.7919333564676,
m_goes_down_True_mab_virus_PGT121|2946,1.5333505158613,
m_goes_down_True_mab_virus_PGT121|3430,1.06716805255014,
m_goes_down_True_mab_virus_PGT121|4166,1.56936663533475,
m_goes_down_True_mab_virus_PGT121|4168,0.499270266580209,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,2.15702964915871,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.58536953549289,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.97551437798532,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.73025503326918,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.45834946292147,
m_goes_down_True_mab_virus_VRC07-523LS|1798,2.01288588852857,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.47709280907077,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.59144350061487,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.59979668152847,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.86046431898456,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.09450924616874,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.70944779158783,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.61969322018873,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,1.7518732711311,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,1.74379590226731,
m_goes_down_True_mab_virus_nan|1176,0.686404068512061,
m_goes_down_True_mab_virus_nan|1798,2.17204019495718,
m_goes_down_True_mab_virus_nan|2944,0.728304595435251,
m_goes_down_True_mab_virus_nan|2946,1.71211387762319,
m_goes_down_True_mab_virus_nan|3430,3.90553530128837,
m_goes_down_True_mab_virus_nan|4166,1.5270740831897,
m_goes_down_True_mab_virus_nan|4168,0.643119067950486,
m_goes_down_True_mab_virus_nan|Ce1176_A3,1.94246264787436,
m_goes_down_True_mab_virus_nan|PVO.4,1.27761790794678,
m_goes_down_True_mab_virus_nan|RHPA4259.7,0.475875334799134,
