parameter,value,CV
m_goes_down_False_mab_virus_VRC07-523LS|2944,1.94307235119326,
m_goes_down_False_mab_virus_VRC07-523LS|2946,0.746413040194362,
m_goes_down_False_mab_virus_VRC07-523LS|3430,2.81907533820303,
m_goes_down_False_mab_virus_VRC07-523LS|4166,15.0338132367834,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.889607419366897,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.999767524788817,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,1.56040646183476,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,12.7750142693972,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,1.7853658566835,
m_goes_down_False_mab_virus_nan|1176,0.377577786989516,
m_goes_down_False_mab_virus_nan|1798,0.543679407105992,
m_goes_down_False_mab_virus_nan|2944,1.00561330613074,
m_goes_down_False_mab_virus_nan|2946,2.22126119083416,
m_goes_down_False_mab_virus_nan|3430,1.69215532392449,
m_goes_down_False_mab_virus_nan|4166,0.251781108359501,
m_goes_down_False_mab_virus_nan|4168,0.181683700369656,
m_goes_down_False_mab_virus_nan|Ce1176_A3,3.52554194677678,
m_goes_down_False_mab_virus_nan|PVO.4,0.318130712978767,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.716250263235555,
m_goes_down_False_mab_virus_nan|TRO.11,0.198863000892468,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,0.906467608524076,
m_goes_down_True_mab_virus_PGDM1400|1176,0.964395518415735,
m_goes_down_True_mab_virus_PGDM1400|1798,0.508092677160851,
m_goes_down_True_mab_virus_PGDM1400|2944,68.4261629810164,
m_goes_down_True_mab_virus_PGDM1400|2946,0.708817761485917,
m_goes_down_True_mab_virus_PGDM1400|3430,1.29317077266904,
m_goes_down_True_mab_virus_PGDM1400|4166,1.64086256924389,
m_goes_down_True_mab_virus_PGDM1400|4168,0.248905666367861,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.36671011149344,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,0.492029529703342,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.08839566351878,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,0.798974377533548,
m_goes_down_True_mab_virus_PGT121|1176,0.460626230702212,
m_goes_down_True_mab_virus_PGT121|1798,8.31602057725191,
m_goes_down_True_mab_virus_PGT121|2944,20.0350709534314,
m_goes_down_True_mab_virus_PGT121|2946,1.06155808367084,
m_goes_down_True_mab_virus_PGT121|3430,0.803854782375784,
m_goes_down_True_mab_virus_PGT121|4166,25.5174473324189,
m_goes_down_True_mab_virus_PGT121|4168,0.640341914449283,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,7.23593764327994,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.85842950069414,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,16.6799429768063,
m_goes_down_True_mab_virus_PGT121|TRO.11,17.6236499280653,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.1628223329499,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.13483319789058,
m_goes_down_True_mab_virus_VRC07-523LS|2944,2.64192886226054,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.01487222174003,
m_goes_down_True_mab_virus_VRC07-523LS|3430,3.83300009199951,
m_goes_down_True_mab_virus_VRC07-523LS|4166,20.440960459193,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.20956871001905,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.3593496287816,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,2.1216311712981,
m_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,17.369748940838,
m_goes_down_True_mab_virus_VRC07-523LS|TRO.11,2.42750074827116,
m_goes_down_True_mab_virus_nan|1176,0.513379572604937,
m_goes_down_True_mab_virus_nan|1798,0.739222251074662,
m_goes_down_True_mab_virus_nan|2944,1.36729793726338,
m_goes_down_True_mab_virus_nan|2946,3.02017269047142,
m_goes_down_True_mab_virus_nan|3430,2.30076558238222,
m_goes_down_True_mab_virus_nan|4166,0.342338141314407,
m_goes_down_True_mab_virus_nan|4168,0.247029098795071,
m_goes_down_True_mab_virus_nan|Ce1176_A3,4.79355852013427,
m_goes_down_True_mab_virus_nan|PVO.4,0.432551424075373,
m_goes_down_True_mab_virus_nan|RHPA4259.7,0.97386092796887,
m_goes_down_True_mab_virus_nan|TRO.11,0.2703872047641,
e_goes_down_False_mab_virus_Clinical VRC01|PVO.4,5.38793425842462,
e_goes_down_False_mab_virus_PGDM1400|1176,5.38789952139526,
e_goes_down_False_mab_virus_PGDM1400|1798,5.38792445341187,
e_goes_down_False_mab_virus_PGDM1400|2944,5.37373411662711,
e_goes_down_False_mab_virus_PGDM1400|2946,1.37267779670285,
e_goes_down_False_mab_virus_PGDM1400|3430,179.655047957489,
e_goes_down_False_mab_virus_PGDM1400|4166,5.38791926739029,
e_goes_down_False_mab_virus_PGDM1400|4168,0.0316748610649139,
e_goes_down_False_mab_virus_PGDM1400|Ce1176_A3,5.38793295329284,
e_goes_down_False_mab_virus_PGDM1400|PVO.4,5.38794140610811,
e_goes_down_False_mab_virus_PGDM1400|RHPA4259.7,5.38797218597076,
e_goes_down_False_mab_virus_PGDM1400|TRO.11,3.37066485068415,
e_goes_down_False_mab_virus_PGT121|1176,1.92558497224423,
e_goes_down_False_mab_virus_PGT121|1798,5.40127684726364,
e_goes_down_False_mab_virus_PGT121|2944,5.38792978122107,
e_goes_down_False_mab_virus_PGT121|2946,5.38795032267102,
e_goes_down_False_mab_virus_PGT121|3430,38.697720783084,
e_goes_down_False_mab_virus_PGT121|4166,5.38781009910247,
e_goes_down_False_mab_virus_PGT121|4168,5.38791136647116,
e_goes_down_False_mab_virus_PGT121|Ce1176_A3,7.9724350852926,
e_goes_down_False_mab_virus_PGT121|PVO.4,5.33073251058726,
e_goes_down_False_mab_virus_PGT121|RHPA4259.7,5.38794467511218,
e_goes_down_False_mab_virus_PGT121|TRO.11,5.38793125848988,
e_goes_down_False_mab_virus_VRC07-523LS|1176,5.38792289805653,
e_goes_down_False_mab_virus_VRC07-523LS|1798,5.38795504887583,
e_goes_down_False_mab_virus_VRC07-523LS|2944,5.38784927743149,
e_goes_down_False_mab_virus_VRC07-523LS|2946,3.39675871443793,
e_goes_down_False_mab_virus_VRC07-523LS|3430,5.3879352154433,
e_goes_down_False_mab_virus_VRC07-523LS|4166,5.37572579029087,
e_goes_down_False_mab_virus_VRC07-523LS|4168,5.38789030332585,
e_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,5.38795707944207,
e_goes_down_False_mab_virus_VRC07-523LS|PVO.4,5.38788441438422,
e_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,5.46049878145423,
e_goes_down_False_mab_virus_VRC07-523LS|TRO.11,5.38788579394872,
e_goes_down_False_mab_virus_nan|1176,5.38737566977281,
e_goes_down_False_mab_virus_nan|1798,5.38791471869237,
e_goes_down_False_mab_virus_nan|2944,5.38753219846329,
e_goes_down_False_mab_virus_nan|2946,5.38701224803044,
e_goes_down_False_mab_virus_nan|3430,5.38763088710192,
e_goes_down_False_mab_virus_nan|4166,5.38792985034437,
e_goes_down_False_mab_virus_nan|4168,5.38792804023332,
e_goes_down_False_mab_virus_nan|Ce1176_A3,5.38754944285145,
e_goes_down_False_mab_virus_nan|PVO.4,5.38710180764973,
e_goes_down_False_mab_virus_nan|RHPA4259.7,5.38793271201044,
e_goes_down_False_mab_virus_nan|TRO.11,5.39169356065216,
e_goes_down_True_mab_virus_Clinical VRC01|PVO.4,5.38775478846219,
e_goes_down_True_mab_virus_PGDM1400|1176,5.38772005258991,
e_goes_down_True_mab_virus_PGDM1400|1798,5.38774498377604,
e_goes_down_True_mab_virus_PGDM1400|2944,5.3735551196658,
e_goes_down_True_mab_virus_PGDM1400|2946,1.37263207334752,
e_goes_down_True_mab_virus_PGDM1400|3430,179.649063718788,
e_goes_down_True_mab_virus_PGDM1400|4166,5.38773979792721,
e_goes_down_True_mab_virus_PGDM1400|4168,0.0316738059878004,
e_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,5.38775348337389,
e_goes_down_True_mab_virus_PGDM1400|PVO.4,5.38776193590759,
e_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,5.38779271474498,
e_goes_down_True_mab_virus_PGDM1400|TRO.11,3.37055257516906,
e_goes_down_True_mab_virus_PGT121|1176,1.92552083176923,
e_goes_down_True_mab_virus_PGT121|1798,5.40109693286484,
e_goes_down_True_mab_virus_PGT121|2944,5.38775031140778,
e_goes_down_True_mab_virus_PGT121|2946,5.3877708521735,
e_goes_down_True_mab_virus_PGT121|3430,38.6964317772866,
e_goes_down_True_mab_virus_PGT121|4166,5.38763063327574,
e_goes_down_True_mab_virus_PGT121|4168,5.38773189727125,
e_goes_down_True_mab_virus_PGT121|Ce1176_A3,7.97216952662826,
e_goes_down_True_mab_virus_PGT121|PVO.4,5.33055494599246,
e_goes_down_True_mab_virus_PGT121|RHPA4259.7,5.38776520480277,
e_goes_down_True_mab_virus_PGT121|TRO.11,5.38775178862738,
e_goes_down_True_mab_virus_VRC07-523LS|1176,5.38774342847251,
e_goes_down_True_mab_virus_VRC07-523LS|1798,5.38777557822088,
e_goes_down_True_mab_virus_VRC07-523LS|2944,5.38766981029974,
e_goes_down_True_mab_virus_VRC07-523LS|2946,3.39664556974655,
e_goes_down_True_mab_virus_VRC07-523LS|3430,5.387755745449,
e_goes_down_True_mab_virus_VRC07-523LS|4166,5.37554672698769,
e_goes_down_True_mab_virus_VRC07-523LS|4168,5.38771083482755,
e_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,5.38777760871948,
e_goes_down_True_mab_virus_VRC07-523LS|PVO.4,5.38770494608208,
e_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,5.46031689439619,
e_goes_down_True_mab_virus_VRC07-523LS|TRO.11,5.38770632560062,
e_goes_down_True_mab_virus_nan|1176,5.38719621841675,
e_goes_down_True_mab_virus_nan|1798,5.3877352493808,
e_goes_down_True_mab_virus_nan|2944,5.38735274189332,
e_goes_down_True_mab_virus_nan|2946,5.38683280877981,
e_goes_down_True_mab_virus_nan|3430,5.38745142724467,
e_goes_down_True_mab_virus_nan|4166,5.38775038052877,
e_goes_down_True_mab_virus_nan|4168,5.38774857047802,
e_goes_down_True_mab_virus_nan|Ce1176_A3,5.38736998570707,
e_goes_down_True_mab_virus_nan|PVO.4,5.3869223654159,
e_goes_down_True_mab_virus_nan|RHPA4259.7,5.38775324209952,
e_goes_down_True_mab_virus_nan|TRO.11,5.39151396546886,
alpha_run_id_1200432,0.161608611014855,
alpha_run_id_1313842,0.161608637759866,
alpha_run_id_1313860,0.161609300036592,
alpha_run_id_1313884,0.161603526391403,
alpha_run_id_1313920,0.161607201274506,
alpha_run_id_1313938,0.199137733231824,
alpha_run_id_1313956,0.162021318631792,
alpha_run_id_1313974,0.161608057221765,
alpha_run_id_1313992,0.16160868624282,
alpha_run_id_1314016,0.161607503573199,
alpha_run_id_1314040,0.161607703499194,
alpha_run_id_1314058,0.363229299978321,
alpha_run_id_1342240,7.97981023473433e-06,
alpha_run_id_1342258,0.161594009583175,
alpha_run_id_1342276,0.161609375483025,
alpha_run_id_1342294,0.310199784246872,
alpha_run_id_1342312,0.161609164599612,
alpha_run_id_1342336,0.161608651038467,
alpha_run_id_1342348,0.281134045704662,
alpha_run_id_1342372,0.161606798690959,
alpha_run_id_1342384,0.161605513004534,
alpha_run_id_1342396,0.161604008543296,
alpha_run_id_1342408,0.161420179282969,
k_run_id_1200432,4.34337737363993e-09,
k_run_id_1313842,4.34231486738178e-09,
k_run_id_1313860,4.34340767310419e-09,
k_run_id_1313884,4.34278654498146e-09,
k_run_id_1313920,4.34336935457924e-09,
k_run_id_1313938,4.34344499800607e-09,
k_run_id_1313956,4.34251441562023e-09,
k_run_id_1313974,4.34356740248092e-09,
k_run_id_1313992,4.34336861945621e-09,
k_run_id_1314016,4.34301899409264e-09,
k_run_id_1314040,4.34204886982109e-09,
k_run_id_1314058,4.40441559998145e-09,
k_run_id_1342240,4.34329777946157e-09,
k_run_id_1342258,4.34417957605441e-09,
k_run_id_1342276,4.34297082723255e-09,
k_run_id_1342294,4.34235756328371e-09,
k_run_id_1342312,4.34330190058043e-09,
k_run_id_1342336,4.34337712433464e-09,
k_run_id_1342348,4.34247110479705e-09,
k_run_id_1342372,4.34305863055822e-09,
k_run_id_1342384,4.3410949134214e-09,
k_run_id_1342396,4.34331547582321e-09,
k_run_id_1342408,4.34337477621651e-09,
omega_L,4.97513490415655e-08,4.9421560620597e-06
omega_m,2.28120628246396e-08,2.1073424255447e-06
a,0.00232242679673744,
b,0.348672827472453,
