parameter,value,CV
U_goes_down_False_mab_virus_Clinical VRC01|PVO.4,1,
L_goes_down_False_mab_virus_nan|PVO.4,8.58760866497056e-08,
L_goes_down_False_mab_virus_nan|RHPA4259.7,1.79488882035925e-08,
L_goes_down_False_mab_virus_nan|TRO.11,7.47114195389887e-08,
L_goes_down_True_mab_virus_Clinical VRC01|PVO.4,3.48241870588395e-09,
L_goes_down_True_mab_virus_PGDM1400|1176,4.17056773482512e-07,
L_goes_down_True_mab_virus_PGDM1400|1798,1.52891185783622e-07,
L_goes_down_True_mab_virus_PGDM1400|2944,1.72594102067664e-07,
L_goes_down_True_mab_virus_PGDM1400|2946,2.16783151597821e-07,
L_goes_down_True_mab_virus_PGDM1400|3430,4.94104353409822e-08,
L_goes_down_True_mab_virus_PGDM1400|4166,3.3188987698706e-06,
L_goes_down_True_mab_virus_PGDM1400|4168,7.29447914999516e-09,
L_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,4.6250379831176e-08,
L_goes_down_True_mab_virus_PGDM1400|PVO.4,1.00317773614183e-07,
L_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,3.73721474450759e-08,
L_goes_down_True_mab_virus_PGDM1400|TRO.11,3.43843614050079e-08,
L_goes_down_True_mab_virus_PGT121|1176,1.19356745388504e-08,
L_goes_down_True_mab_virus_PGT121|1798,3.26749049651016e-09,
L_goes_down_True_mab_virus_PGT121|2944,2.93059067653451e-08,
L_goes_down_True_mab_virus_PGT121|2946,4.60653326055671e-09,
L_goes_down_True_mab_virus_PGT121|3430,2.01127868540668e-07,
L_goes_down_True_mab_virus_PGT121|4166,1.61068776152569e-06,
L_goes_down_True_mab_virus_PGT121|4168,6.23942631723152e-07,
L_goes_down_True_mab_virus_PGT121|Ce1176_A3,1.28536140871499e-07,
L_goes_down_True_mab_virus_PGT121|PVO.4,3.40735880110798e-05,
L_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.26366560302218e-07,
L_goes_down_True_mab_virus_PGT121|TRO.11,2.59179568036021e-05,
L_goes_down_True_mab_virus_VRC07-523LS|1176,2.12522915590773e-07,
L_goes_down_True_mab_virus_VRC07-523LS|1798,9.72834335823732e-08,
L_goes_down_True_mab_virus_VRC07-523LS|2944,3.44393179614206e-07,
L_goes_down_True_mab_virus_VRC07-523LS|2946,8.37846389849159e-07,
L_goes_down_True_mab_virus_VRC07-523LS|3430,3.75341743295152e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4166,2.65848527254043e-08,
L_goes_down_True_mab_virus_VRC07-523LS|4168,3.43537148433171e-08,
L_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,4.26997578549288e-07,
L_goes_down_True_mab_virus_VRC07-523LS|PVO.4,5.2871143857288e-08,
L_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,2.7508726350941e-09,
L_goes_down_True_mab_virus_VRC07-523LS|TRO.11,5.05056465758459e-06,
L_goes_down_True_mab_virus_nan|1176,3.74132487949778e-09,
L_goes_down_True_mab_virus_nan|1798,1.64769250185395e-09,
L_goes_down_True_mab_virus_nan|2944,2.30787104486527e-10,
L_goes_down_True_mab_virus_nan|2946,3.19722146788879e-10,
L_goes_down_True_mab_virus_nan|3430,8.82926959118647e-10,
L_goes_down_True_mab_virus_nan|4166,6.60359535637213e-10,
