"id","U","L","m","e","alpha","k"
"130_bNAb_Combinations|1313842|vc|1|2|nan|2946",1,2.40292826421586e-16,0.539417858044115,0.999999770432767,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|2|2|nan|2946",1,2.40292826421586e-16,0.539417858044116,1.00000013641229,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|3|2|nan|2946",1,2.40292826421586e-16,0.53941785804412,0.999999781416555,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|4|2|nan|2946",1,2.40292826421586e-16,0.539417858044122,0.999999574585046,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|5|2|nan|2946",1,2.40292826421586e-16,0.539417858044119,1.00000040606101,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|6|2|nan|2946",1,2.40292826421586e-16,0.539417858044119,0.99999954369198,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|7|2|nan|2946",1,2.40292826421586e-16,0.539417858044117,0.999999698737662,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313842|vc|8|2|nan|2946",1,2.40292826421586e-16,0.53941785804412,0.999999709835945,0.320703537534621,0.434285851650583
"130_bNAb_Combinations|1313860|cc|1|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255692,0.999999786784086,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|2|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255693,1.00000020516202,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|3|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255689,1.00000035328714,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|4|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255697,0.999999704371428,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|5|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255693,0.999999588322249,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|6|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255693,1.00000021471869,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|7|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255689,1.00000004626622,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|cc|8|1|PVO.4|5024",1,2.40292826421586e-16,0.427542542255692,0.999999565500597,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|10|PVO.4|5024",1,2.40278647689014e-16,1.53293593723782,7.13775186108139,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|11|PVO.4|5024",1,2.40278647689014e-16,1.80209832062719,7.63653098962225,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|12|PVO.4|5024",1,2.40278647689014e-16,1.80209832062758,8.21264098487378,0.215954349348143,0.367844601774785
"130_bNAb_Combinations|1313860|sample|3|PVO.4|5024",1,2.40278647689014e-16,1.29349362854212,0.978800340889549,0.215954349348143,0.367844601774785
