parameter,value,CV
U_goes_down_False,1,
U_goes_down_True,0.982218088845084,
m_goes_down_False_mab_virus_VRC07-523LS|4168,0.362251220987806,
m_goes_down_False_mab_virus_VRC07-523LS|Ce1176_A3,0.638454701016086,
m_goes_down_False_mab_virus_VRC07-523LS|PVO.4,0.590919708601954,
m_goes_down_False_mab_virus_VRC07-523LS|RHPA4259.7,0.57670061114804,
m_goes_down_False_mab_virus_VRC07-523LS|TRO.11,0.674380440954191,
m_goes_down_False_mab_virus_nan|1176,1.1035188893717,
m_goes_down_False_mab_virus_nan|1798,0.85620733077359,
m_goes_down_False_mab_virus_nan|2944,0.496874814563669,
m_goes_down_False_mab_virus_nan|2946,0.197951178793129,
m_goes_down_False_mab_virus_nan|3430,1.0646268908233,
m_goes_down_False_mab_virus_nan|4166,0.500083757690352,
m_goes_down_False_mab_virus_nan|4168,0.123659141845639,
m_goes_down_False_mab_virus_nan|Ce1176_A3,0.296613333279205,
m_goes_down_False_mab_virus_nan|PVO.4,0.378632531778629,
m_goes_down_False_mab_virus_nan|RHPA4259.7,0.242222002754223,
m_goes_down_False_mab_virus_nan|TRO.11,1.33954617980371,
m_goes_down_True_mab_virus_Clinical VRC01|PVO.4,1.50828461847133,
m_goes_down_True_mab_virus_PGDM1400|1176,0.673469009458426,
m_goes_down_True_mab_virus_PGDM1400|1798,0.56020723381752,
m_goes_down_True_mab_virus_PGDM1400|2944,1.25450126759688,
m_goes_down_True_mab_virus_PGDM1400|2946,0.756971614999853,
m_goes_down_True_mab_virus_PGDM1400|3430,0.973431464081239,
m_goes_down_True_mab_virus_PGDM1400|4166,0.974318010064201,
m_goes_down_True_mab_virus_PGDM1400|4168,1.17071025169856,
m_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.519116567589177,
m_goes_down_True_mab_virus_PGDM1400|PVO.4,1.3859498873814,
m_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,1.73322323878233,
m_goes_down_True_mab_virus_PGDM1400|TRO.11,1.24788394500645,
m_goes_down_True_mab_virus_PGT121|1176,0.868908960022444,
m_goes_down_True_mab_virus_PGT121|1798,1.54635500102209,
m_goes_down_True_mab_virus_PGT121|2944,1.78869987358693,
m_goes_down_True_mab_virus_PGT121|2946,1.45262269357055,
m_goes_down_True_mab_virus_PGT121|3430,1.00494416671451,
m_goes_down_True_mab_virus_PGT121|4166,1.80840027740673,
m_goes_down_True_mab_virus_PGT121|4168,0.503556354882778,
m_goes_down_True_mab_virus_PGT121|Ce1176_A3,1.94881238971073,
m_goes_down_True_mab_virus_PGT121|PVO.4,1.48454805205183,
m_goes_down_True_mab_virus_PGT121|RHPA4259.7,1.78157114478603,
m_goes_down_True_mab_virus_PGT121|TRO.11,1.91145460579365,
m_goes_down_True_mab_virus_VRC07-523LS|1176,1.30646901027248,
m_goes_down_True_mab_virus_VRC07-523LS|1798,1.93173991964296,
m_goes_down_True_mab_virus_VRC07-523LS|2944,1.4900910873784,
m_goes_down_True_mab_virus_VRC07-523LS|2946,1.62379026482245,
m_goes_down_True_mab_virus_VRC07-523LS|3430,1.61194214742293,
m_goes_down_True_mab_virus_VRC07-523LS|4166,1.67427666100102,
m_goes_down_True_mab_virus_VRC07-523LS|4168,1.01081247383129,
m_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,1.7815204984085,
m_goes_down_True_mab_virus_VRC07-523LS|PVO.4,1.64888060517458,
