parameter,value,CV
e_goes_down_True_mab_virus_PGDM1400|1798,0.155363063176946,
e_goes_down_True_mab_virus_PGDM1400|2944,0.155363332965269,
e_goes_down_True_mab_virus_PGDM1400|2946,0.165520435742959,
e_goes_down_True_mab_virus_PGDM1400|3430,0.155363371731314,
e_goes_down_True_mab_virus_PGDM1400|4166,0.155361522953574,
e_goes_down_True_mab_virus_PGDM1400|4168,0.155365182552461,
e_goes_down_True_mab_virus_PGDM1400|Ce1176_A3,0.152153842174798,
e_goes_down_True_mab_virus_PGDM1400|PVO.4,0.155364574605396,
e_goes_down_True_mab_virus_PGDM1400|RHPA4259.7,0.155366460582779,
e_goes_down_True_mab_virus_PGDM1400|TRO.11,0.153483905262614,
e_goes_down_True_mab_virus_PGT121|1176,0.155362218105946,
e_goes_down_True_mab_virus_PGT121|1798,0.155365022081156,
e_goes_down_True_mab_virus_PGT121|2944,0.155363844683226,
e_goes_down_True_mab_virus_PGT121|2946,0.155364722755111,
e_goes_down_True_mab_virus_PGT121|3430,0.155364980151231,
e_goes_down_True_mab_virus_PGT121|4166,0.193609482885278,
e_goes_down_True_mab_virus_PGT121|4168,0.155364348749569,
e_goes_down_True_mab_virus_PGT121|Ce1176_A3,0.140989959938861,
e_goes_down_True_mab_virus_PGT121|PVO.4,0.155364226088592,
e_goes_down_True_mab_virus_PGT121|RHPA4259.7,0.153017495019416,
e_goes_down_True_mab_virus_PGT121|TRO.11,0.155363671118851,
e_goes_down_True_mab_virus_VRC07-523LS|1176,0.155365345292913,
e_goes_down_True_mab_virus_VRC07-523LS|1798,0.155364602600531,
e_goes_down_True_mab_virus_VRC07-523LS|2944,0.15536764183299,
e_goes_down_True_mab_virus_VRC07-523LS|2946,0.155364468362235,
e_goes_down_True_mab_virus_VRC07-523LS|3430,0.15536436261201,
e_goes_down_True_mab_virus_VRC07-523LS|4166,0.155441058993486,
e_goes_down_True_mab_virus_VRC07-523LS|4168,0.155364873893768,
e_goes_down_True_mab_virus_VRC07-523LS|Ce1176_A3,0.158383958037691,
e_goes_down_True_mab_virus_VRC07-523LS|PVO.4,0.155364715893974,
e_goes_down_True_mab_virus_VRC07-523LS|RHPA4259.7,0.159629475270968,
e_goes_down_True_mab_virus_VRC07-523LS|TRO.11,0.155364694545878,
e_goes_down_True_mab_virus_nan|1176,0.15536248305699,
e_goes_down_True_mab_virus_nan|1798,0.155364578792226,
e_goes_down_True_mab_virus_nan|2944,0.155364064877816,
e_goes_down_True_mab_virus_nan|2946,0.155362677821101,
e_goes_down_True_mab_virus_nan|3430,0.155362009871856,
e_goes_down_True_mab_virus_nan|4166,0.155350577996504,
e_goes_down_True_mab_virus_nan|4168,0.15541027926253,
e_goes_down_True_mab_virus_nan|Ce1176_A3,0.155362476682405,
e_goes_down_True_mab_virus_nan|PVO.4,0.1552188285964,
e_goes_down_True_mab_virus_nan|RHPA4259.7,0.155376993590002,
e_goes_down_True_mab_virus_nan|TRO.11,0.155365260365921,
s_goes_down_False,66.0980018002531,
s_goes_down_True,66.0980176136267,
alpha_run_id_1200432,0.194157119203736,
alpha_run_id_1313842,0.19415710120457,
alpha_run_id_1313860,0.174793170351509,
alpha_run_id_1313884,0.19415660065167,
alpha_run_id_1313920,0.194156810429641,
alpha_run_id_1313938,0.142793726197295,
alpha_run_id_1313956,0.1941570082279,
alpha_run_id_1313974,0.657932545776759,
alpha_run_id_1313992,0.19415700384412,
alpha_run_id_1314016,0.164559660795307,
alpha_run_id_1314040,0.194157542996551,
alpha_run_id_1314058,0.194157375548172,
alpha_run_id_1342240,0.194160763238666,
alpha_run_id_1342258,0.194157542155544,
alpha_run_id_1342276,0.194161149924851,
alpha_run_id_1342294,0.194155454547622,
alpha_run_id_1342312,0.0701974173821569,
alpha_run_id_1342336,0.194157167857155,
alpha_run_id_1342348,0.194157456217474,
alpha_run_id_1342372,0.194157375992491,
alpha_run_id_1342384,0.154946528988122,
alpha_run_id_1342396,0.194157392249124,
alpha_run_id_1342408,0.157954767542126,
k_run_id_1200432,0.0520527137841655,
k_run_id_1313842,0.052052717553773,
k_run_id_1313860,0.0520527009241504,
k_run_id_1313884,0.0520526754867763,
k_run_id_1313920,0.0520527323572489,
k_run_id_1313938,0.0520516171709624,
k_run_id_1313956,0.0520525720655909,
k_run_id_1313974,0.493407162443049,
k_run_id_1313992,0.0520523256729469,
k_run_id_1314016,0.0520529886763274,
k_run_id_1314040,0.0520528017727958,
k_run_id_1314058,0.0520525474174932,
k_run_id_1342240,0.180001336618061,
k_run_id_1342258,0.0520527231574834,
k_run_id_1342276,0.0520528062657013,
k_run_id_1342294,0.0520527303814884,
k_run_id_1342312,0.052052723088898,
k_run_id_1342336,0.375197701491162,
k_run_id_1342348,0.0520527123674194,
k_run_id_1342372,0.0520528731465036,
k_run_id_1342384,0.0520527900153325,
k_run_id_1342396,0.0520532662253312,
k_run_id_1342408,0.0520540613901536,
omega_L,4.66652012495101e-08,4.71216091538724e-06
omega_m,2.73859012058651e-08,2.012794588174e-06
a,0.0208188308264219,
b,0.134457587938116,
